stream,topic,sender-id,timestamp,keyword-?
data-science,preferred notebook,138243,1550373941,true
data-science,preferred notebook,138243,1550374010,false
data-science,preferred notebook,138243,1550374071,false
data-science,preferred notebook,138243,1550375181,false
data-science,preferred notebook,138243,1550375241,true
data-science,preferred notebook,138243,1550375453,false
data-science,Organize data science tools site?,138175,1550383391,false
data-science,Organize data science tools site?,138262,1550403027,false
data-science,preferred notebook,139190,1550424862,true
data-science,preferred notebook,139190,1550426994,true
data-science,preferred notebook,139190,1550427083,false
data-science,preferred notebook,138175,1550429309,true
data-science,preferred notebook,139190,1550433060,false
data-science,preferred notebook,139190,1550433649,true
data-science,preferred notebook,139190,1550433867,false
data-science,preferred notebook,139190,1550435527,true
data-science,preferred notebook,139190,1550436945,true
data-science,Deep Learning - from scratch to GPU (dragan.rocks),138262,1550439008,true
data-science,Deep Learning - from scratch to GPU (dragan.rocks),139190,1550439395,false
data-science,preferred notebook,138243,1550446059,false
data-science,preferred notebook,138243,1550446132,false
data-science,preferred notebook,138243,1550446155,false
data-science,preferred notebook,138243,1550446209,false
data-science,preferred notebook,138243,1550446293,false
data-science,Organize data science tools site?,200389,1550453878,false
data-science,Organize data science tools site?,138262,1550487104,false
data-science,Deep Learning - from scratch to GPU (dragan.rocks),138603,1550502725,false
data-science,preferred notebook,139190,1550502793,true
data-science,tech.ml.dataset,200665,1550516663,false
data-science,preferred notebook,138243,1550560080,false
data-science,preferred notebook,138243,1550560109,false
data-science,preferred notebook,138243,1550560167,false
data-science,preferred notebook,138243,1550560223,false
data-science,preferred notebook,138243,1550560310,false
data-science,preferred notebook,138243,1550560479,false
data-science,preferred notebook,138243,1550560670,true
data-science,preferred notebook,138175,1550560907,false
data-science,preferred notebook,138243,1550561547,false
data-science,preferred notebook,139190,1550587753,true
data-science,Organize data science tools site?,200389,1550717832,false
data-science,Organize data science tools site?,200711,1550785806,false
data-science,Organize data science tools site?,200665,1550785984,false
data-science,Organize data science tools site?,139453,1550786050,false
data-science,Organize data science tools site?,138262,1550821456,false
data-science,Organize data science tools site?,138262,1550821532,false
data-science,Organize data science tools site?,200711,1550827709,false
data-science,Organize data science tools site?,138175,1550851316,true
data-science,Cool Papers,200665,1550887813,false
data-science,Organize data science tools site?,200389,1550899895,false
data-science,Organize data science tools site?,138262,1550910128,false
data-science,Organize data science tools site?,138262,1550910506,false
data-science,Organize data science tools site?,138262,1550910588,true
data-science,Organize data science tools site?,200711,1550928969,false
data-science,Organize data science tools site?,198968,1550930706,false
data-science,Organize data science tools site?,198968,1550930923,false
data-science,Organize data science tools site?,198968,1550931017,false
data-science,Organize data science tools site?,138175,1550931652,true
data-science,Organize data science tools site?,138175,1550932003,true
data-science,Organize data science tools site?,138175,1550932088,true
data-science,Organize data science tools site?,138262,1550934449,false
data-science,Organize data science tools site?,201134,1550945211,false
data-science,Organize data science tools site?,138175,1550947280,false
data-science,Organize data science tools site?,138243,1550949515,true
data-science,Organize data science tools site?,138243,1550950065,true
data-science,Organize data science tools site?,200389,1550955780,false
data-science,Organize data science tools site?,139190,1550958551,false
data-science,Organize data science tools site?,200665,1550959683,false
data-science,Organize data science tools site?,139190,1550961925,false
data-science,Organize data science tools site?,138603,1550963562,false
data-science,Organize data science tools site?,198968,1550965142,false
data-science,Organize data science tools site?,200665,1550966452,false
data-science,Organize data science tools site?,138603,1550966467,false
data-science,Organize data science tools site?,200665,1550966751,false
data-science,Organize data science tools site?,138603,1550967338,false
data-science,What’s the Clojure data science toolkit?,138243,1550989706,true
data-science,Organize data science tools site?,139190,1551026572,false
data-science,What’s the Clojure data science toolkit?,139190,1551027408,true
data-science,What’s the Clojure data science toolkit?,138262,1551035559,false
data-science,ml news,200490,1551035979,false
data-science,What’s the Clojure data science toolkit?,139453,1551046842,false
data-science,What’s the Clojure data science toolkit?,138243,1551056587,true
data-science,What’s the Clojure data science toolkit?,138243,1551068731,false
data-science,What’s the Clojure data science toolkit?,200389,1551075530,false
data-science,Opportunity,138260,1551079238,true
data-science,What’s the Clojure data science toolkit?,138175,1551089024,false
data-science,What’s the Clojure data science toolkit?,138243,1551147727,true
data-science,What’s the Clojure data science toolkit?,201134,1551148567,false
data-science,What’s the Clojure data science toolkit?,138262,1551169371,false
data-science,Opportunity,138175,1551169417,true
data-science,What’s the Clojure data science toolkit?,138262,1551169676,false
data-science,What’s the Clojure data science toolkit?,138175,1551170172,true
data-science,What’s the Clojure data science toolkit?,138603,1551174344,true
data-science,What’s the Clojure data science toolkit?,138603,1551177086,false
data-science,What’s the Clojure data science toolkit?,138175,1551178716,false
data-science,What’s the Clojure data science toolkit?,138603,1551179862,false
data-science,Videos,200490,1551196607,true
data-science,tech.ml.dataset,200665,1551206611,false
data-science,tech.ml.dataset,139453,1551208165,false
data-science,Videos,139190,1551212430,true
data-science,tech.ml.dataset,200665,1551216155,false
data-science,tech.ml.dataset,200665,1551221068,false
data-science,tech.ml.dataset,201134,1551221093,false
data-science,tech.ml.dataset,200665,1551221765,false
data-science,Videos,200665,1551222116,false
data-science,tech.ml.dataset,138260,1551222439,false
data-science,tech.ml.dataset,200497,1551243123,false
data-science,tech.ml.dataset,138260,1551299994,false
data-science,tech.ml.dataset,200665,1551302120,false
data-science,tech.ml.dataset,138260,1551310574,false
data-science,tech.ml.dataset,200665,1551320211,false
data-science,Organize data science tools site?,200711,1551341815,true
data-science,tutorials,138175,1551348326,false
data-science,Organize data science tools site?,138175,1551367496,false
data-science,tutorials,138175,1551367579,false
data-science,Organize data science tools site?,200389,1551380541,false
data-science,Organize data science tools site?,138175,1551383065,false
data-science,tech.ml.dataset,138175,1551383766,false
data-science,tech.ml.dataset,200665,1551383979,false
data-science,tech.ml.dataset,200665,1551387066,false
data-science,Deep Learning - from scratch to GPU (dragan.rocks),198968,1551422464,false
data-science,Deep Learning - from scratch to GPU (dragan.rocks),198968,1551422549,false
data-science,Deep Learning - from scratch to GPU (dragan.rocks),138603,1551428150,false
data-science,heart of clojure,138175,1551455726,false
data-science,Organize data science tools site?,203439,1551521815,false
data-science,Organize data science tools site?,138175,1551526383,false
data-science,tutorials,138044,1551578607,false
data-science,tutorials,138175,1551595481,false
data-science,tech.ml.dataset,200665,1551648224,false
data-science,tech.ml.dataset,138175,1551648942,false
data-science,tech.ml.dataset,200665,1551649221,false
data-science,What’s the Clojure data science toolkit?,203439,1551710045,true
data-science,What’s the Clojure data science toolkit?,203439,1551710207,false
data-science,preferred notebook,203439,1551710810,false
data-science,preferred notebook,138175,1551712770,false
data-science,preferred notebook,203439,1551719225,true
data-science,tech.ml.dataset,200665,1551722599,true
data-science,What’s the Clojure data science toolkit?,139190,1551726873,true
data-science,preferred notebook,138175,1551730748,true
data-science,What’s the Clojure data science toolkit?,198968,1551742745,false
data-science,charts,139453,1551818694,true
data-science,charts,139453,1551819073,false
data-science,charts,138260,1551820240,false
data-science,charts,139453,1551820810,false
data-science,charts,139453,1551821020,false
data-science,charts,200665,1551821549,false
data-science,charts,139453,1551821797,false
data-science,charts,138260,1551822902,true
data-science,charts,139453,1551823049,false
data-science,charts,138260,1551823112,true
data-science,charts,139453,1551823705,false
