stream,topic,sender-id,timestamp,keyword-?,message-word-count,afinn-sentiment,trust,surprise,joy,positive,negative,anticipation,anger,sadness,fear
data-science,preferred notebook,138175,1548616628,false,64,8,14,0,0,0,0,0,0,0,0
data-science,other jvm ds libraries,138262,1548624803,false,26,4,4,1,0,0,0,0,0,0,0
data-science,other jvm ds libraries,138175,1548629996,true,12,0,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,138175,1548652929,false,6,0,0,0,0,0,0,0,0,0,0
data-science,other jvm ds libraries,138262,1548661657,false,28,2,7,0,0,0,0,0,0,0,0
data-science,hello,200711,1548668199,true,112,8,18,0,0,0,0,0,0,0,0
data-science,preferred notebook,200611,1548780989,false,94,13,15,0,0,0,0,0,0,0,0
data-science,hello,200665,1548870012,false,19,2,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,200490,1548897905,false,25,3,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1548904877,true,11,4,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1548928464,false,32,0,5,0,0,0,0,0,0,0,0
data-science,preferred notebook,200490,1548939882,false,166,-4,23,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1548941380,true,31,0,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1548941454,false,29,4,6,0,0,0,0,0,0,0,0
data-science,preferred notebook,200490,1548941635,true,67,0,12,0,0,0,0,0,0,0,0
data-science,preferred notebook,200490,1548945163,false,24,0,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1548967067,false,66,1,8,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1548981687,true,37,2,6,0,0,0,0,0,0,0,0
data-science,preferred notebook,200490,1549035082,false,57,2,6,1,0,0,0,0,0,0,0
data-science,Cool Papers,200490,1549319140,false,5,0,2,0,0,0,0,0,0,0,0
data-science,Cool Papers,200490,1549319178,true,190,12,31,2,0,0,0,0,0,0,0
data-science,Conferences,200490,1549320695,false,29,3,6,0,0,0,0,0,0,0,0
data-science,overseer for ml ?,138175,1549359547,true,19,2,6,0,0,0,0,0,0,0,0
data-science,Hi all,202145,1549446804,false,93,7,14,0,0,0,0,0,0,0,0
data-science,Mathematica,200611,1549522849,false,34,-2,6,0,0,0,0,0,0,0,0
data-science,Mathematica,200611,1549523053,false,79,8,11,0,0,0,0,0,0,0,0
data-science,recommended reading,139453,1549532523,true,18,4,6,0,0,0,0,0,0,0,0
data-science,Graphs (networks),201134,1549536469,false,41,2,10,0,0,0,0,0,0,0,0
data-science,Mathematica,138044,1549552511,true,11,0,2,0,0,0,0,0,0,0,0
data-science,Graphs (networks),138262,1549560716,false,26,3,4,0,0,0,0,0,0,0,0
data-science,Cool Papers,200665,1549571552,false,20,2,3,0,0,0,0,0,0,0,0
data-science,Cool Papers,198968,1549584680,false,63,3,19,0,0,0,0,0,0,0,0
data-science,Cool Papers,198968,1549584857,false,18,1,2,1,0,0,0,0,0,0,0
data-science,genetic programming,202145,1549623684,true,68,1,15,0,0,0,0,0,0,0,0
data-science,genetic programming,202145,1549628125,false,101,-3,21,0,0,0,0,0,0,0,0
data-science,Mathematica,200611,1549682285,false,35,3,6,0,0,0,0,0,0,0,0
data-science,Cool Papers,200611,1549682989,false,52,4,16,0,0,0,0,0,0,0,0
data-science,genetic programming,200611,1549684048,true,33,-2,6,1,0,0,0,0,0,0,0
data-science,"""Awesome Machine Learning""",200611,1549684204,false,53,9,7,0,0,0,0,0,0,0,0
data-science,Cool Papers,198968,1549713122,false,22,4,7,0,0,0,0,0,0,0,0
data-science,Cool Papers,200611,1549727842,false,30,0,7,1,0,0,0,0,0,0,0
data-science,Cool Papers,138262,1549745494,true,14,0,3,0,0,0,0,0,0,0,0
data-science,Cool Papers,200611,1549749625,false,234,16,42,3,0,0,0,0,0,0,0
data-science,Cool Papers,198968,1549756884,false,15,-2,4,0,0,0,0,0,0,0,0
data-science,"""Awesome Machine Learning""",198968,1549768458,false,9,0,0,0,0,0,0,0,0,0,0
data-science,"""Awesome Machine Learning""",198968,1549768907,false,11,0,0,0,0,0,0,0,0,0,0
data-science,Mathematica,138044,1549776943,false,24,-1,6,0,0,0,0,0,0,0,0
data-science,Cool Papers,138262,1549787445,false,46,6,14,1,0,1,0,0,0,0,0
data-science,genetic programming,202145,1549877201,false,185,2,38,1,0,0,0,0,0,0,0
data-science,genetic programming,202145,1549880834,true,66,-3,14,1,0,0,0,0,0,0,0
data-science,ml news,200665,1549911697,false,48,3,13,0,0,0,0,0,0,0,0
data-science,ml news,200490,1550177518,false,4,1,0,0,0,0,0,0,0,0,0
data-science,tutorials,138175,1550232325,false,16,2,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550290607,false,124,11,22,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550290639,false,16,4,2,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550290715,false,36,2,6,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550290869,false,76,15,13,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550294071,false,13,-3,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550294136,false,20,-2,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550294172,false,8,6,0,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550294301,false,16,2,2,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550295865,true,23,6,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550296031,false,80,4,18,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550296144,false,43,8,7,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550296175,false,17,2,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550296336,false,12,1,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550296508,false,12,5,0,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550297249,false,37,2,7,0,0,0,0,0,0,0,0
data-science,data science defined,138243,1550299064,false,5,0,1,0,0,0,0,0,0,0,0
data-science,data science defined,138243,1550299320,false,126,12,25,2,0,1,0,0,0,0,0
data-science,preferred notebook,198968,1550302512,false,7,3,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550303106,false,22,4,4,0,0,0,0,0,0,0,0
data-science,preferred notebook,139453,1550319793,false,90,17,19,0,0,0,0,0,0,0,0
data-science,preferred notebook,139453,1550319934,false,7,0,3,0,0,0,0,0,0,0,0
data-science,preferred notebook,198968,1550331805,false,2,1,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550336735,false,101,8,17,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200389,1550341674,false,173,3,33,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550373841,false,19,0,2,1,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550373941,true,18,2,2,1,0,0,0,0,0,0,0
